id,parameter,subsystem,value,unit,tag,owner,feeds_into,source,class2_flag,last_changed,note
TRK-02,Mount command latency,Tracking,<150,ms,TARGET,Matei,TRK-03,05 §4,OK,2026-09-12,Prove in October (Rung 5)
TRK-03,Residual tracking error @0.3°/s,Tracking,<2,mrad,TARGET,Matei,"OPT-05, GS-01",05 §4,OK,2026-09-12,Must stay inside receiver FOV
TRK-04,Guide loop rate,Tracking,10,Hz,DECIDED,Matei,GS-01,01 §3.1,OK,2026-09-08,
TRK-05,Acquisition seed error,Tracking,±2,deg,DECIDED,Matei,TRK-04,01 §3.1,OK,2026-09-08,Guide field ~3°
PWR-01,C2 carrier speed,Power & field,walking (0.27°/s at 300 m),-,DECIDED,Shabazz,"TRK-02, TRK-03",01 §3.1,OK,2026-09-08,C3 indoor: 0.2 m/s over ±0.5 m
PWR-02,Campus field power,Power & field,TBD,W,TBD,Shabazz,-,02 C7,OK,2026-09-12,Mount + laptop + camera + TX
LNK-01,C1 received power at 1 km (on-state),Link,-58.8 (was -35.8),dBm,MODELED,Berky,LNK-02,01 §5.1 minus 23 dB,CHANGED,2026-09-25,Same beam and losses; 1 mW is 23 dB below 200 mW
LNK-02,C1 margin at 1 km,Link,≈ -9 (was ~+14),dB,MODELED,Berky,SYS-04,01 §5.1,CHANGED,2026-09-25,Link does not close on paper; worse once lower 660 nm responsivity is included
LNK-03,C2 margin at 300 m / 200 mrad,Link,≈ -9 (was ~+14) minus diffuser loss,dB,MODELED,Berky,SYS-05,01 §5.2,CHANGED,2026-09-25,Same spot size as C1 so same on-axis power
LNK-04,Atmosphere + RX optics + obstruction,Link,4.5,dB,ASSUMED,Berky,LNK-01,01 §5.1,OK,2026-09-08,Replace with outdoor runs vs range
SAF-01,Campus laser class,Safety,Class 2 (was 3B),-,DECIDED,Berky,"SAF-02, SAF-03",coordinator review 2026-09-24,CHANGED,2026-09-24,No EHS permission needed per coordinator; outdoor projection still assessed under CAR 601.21
SAF-02,Protective eyewear,Safety,OD 4+ @800-900 nm (spec for 850),-,DECIDED,Berky,BUD-01,02 H7,RE-CHECK,2026-09-24,Existing spec does not match 660 nm; confirm Class 2 requirement with EHS
SAF-03,Class 3B upgrade decision,Safety,November (gated on EHS registration with Zhang as PI),-,DECIDED,Berky,"TX-01, TX-02",coordinator review 2026-09-24,CHANGED,2026-09-24,
BUD-01,Campus budget,Project,~700 (was ~4600 incl. flight),CAD,DECIDED,Berky,-,coordinator review 2026-09-24,CHANGED,2026-09-24,No used parts from eBay/Kijiji/FB Marketplace
GS-01,Acceptance panel metrics,Ground software,pre/post-FEC BER; loss; goodput; outage; reacq time; tracking error,-,DECIDED,R6 (open),-,01 §7.5,OK,2026-09-08,
GS-02,C1 acceptance BER,Ground software,<=1e-5 post-FEC over >=1e7 bits,-,DECIDED,R6 (open),-,01 §14,OK,2026-09-08,
FLT-01,Flight laser (E-track),Flight,2 W / 850 nm / Class 4,-,DECIDED,Berky,"FLT-02, OPT-03",01 §5.4,RE-CHECK,2026-09-07,Campus now 660 nm and flight 850 nm: filter and detector work will not transfer directly
FLT-02,APD sensitivity @50 / 5 kbps (E-track),Flight,-60 / -65,dBm,TARGET,Bilal,-,05 §4,OK,2026-09-07,
FLT-03,Payload mass (E-track),Flight,860 of 1100,g,MODELED,Shabazz,-,05 §4,OK,2026-09-07,
